risk_profile,investment_horizon,investment_amount,recommended_stock_category,recommended_mf_category
Aggressive,Medium-term,258089,Growth,ELSS
Moderate,Long-term,321689,Growth,Equity
Conservative,Medium-term,503985,Dividend,Hybrid
Conservative,Long-term,193501,Dividend,Hybrid
Moderate,Long-term,386071,Index,Equity
Aggressive,Medium-term,228422,Small-Cap,ELSS
Moderate,Long-term,819818,Index,ELSS
Conservative,Long-term,331417,Index,Debt
Conservative,Short-term,646600,Dividend,Debt
Moderate,Short-term,838017,Value,Hybrid
Moderate,Short-term,402270,Index,Hybrid
Conservative,Medium-term,769652,Dividend,Hybrid
Moderate,Short-term,17509,Index,Hybrid
Conservative,Long-term,753212,Index,Debt
Moderate,Medium-term,252225,Blend,Equity
Moderate,Medium-term,873039,Index,Equity
Moderate,Medium-term,234350,Blend,Equity
Conservative,Medium-term,908817,Dividend,Debt
Moderate,Long-term,744124,Index,Equity
Conservative,Long-term,218222,Index,Debt
Conservative,Short-term,479053,Index,Debt
Moderate,Medium-term,265117,Index,Hybrid
Moderate,Short-term,73305,Index,Index
Conservative,Long-term,897517,Index,Hybrid
Conservative,Medium-term,314995,Index,Debt
Aggressive,Long-term,349054,Small-Cap,Equity
Conservative,Short-term,44407,Index,Debt
Aggressive,Long-term,843038,Growth,Equity
Aggressive,Medium-term,641565,Growth,ELSS
Aggressive,Medium-term,220590,Small-Cap,Equity
Moderate,Short-term,664492,Value,Hybrid
Moderate,Medium-term,448868,Index,Equity
Conservative,Long-term,675608,Index,Hybrid
Aggressive,Long-term,282659,Small-Cap,ELSS
Moderate,Long-term,372722,Index,ELSS
Moderate,Long-term,888777,Index,ELSS
Moderate,Short-term,151902,Index,Index
Moderate,Long-term,332775,Index,Index
Moderate,Short-term,372928,Index,Hybrid
Aggressive,Long-term,135496,Small-Cap,ELSS
Aggressive,Short-term,934303,Growth,Equity
Aggressive,Long-term,739443,Small-Cap,Equity
Aggressive,Long-term,238170,Small-Cap,ELSS
Conservative,Short-term,417544,Dividend,Debt
Aggressive,Medium-term,415895,Small-Cap,Equity
Moderate,Medium-term,555346,Growth,Equity
Aggressive,Medium-term,398370,Small-Cap,Equity
Conservative,Short-term,238845,Dividend,Debt
Moderate,Medium-term,318840,Index,Equity
Aggressive,Medium-term,774323,Small-Cap,Equity
Aggressive,Short-term,48872,Growth,Equity
Aggressive,Medium-term,589259,Small-Cap,ELSS
Moderate,Medium-term,878515,Index,Index
Moderate,Medium-term,557594,Blend,Index
Conservative,Short-term,431426,Dividend,Debt
Moderate,Short-term,55693,Index,Hybrid
Moderate,Medium-term,824671,Index,Hybrid
Aggressive,Medium-term,627654,Growth,Equity
Moderate,Short-term,341061,Index,Hybrid
Aggressive,Medium-term,372512,Growth,Equity
Aggressive,Short-term,508109,Growth,ELSS
Moderate,Medium-term,235449,Index,Index
Conservative,Short-term,148519,Dividend,Debt
Conservative,Long-term,489120,Dividend,Debt
Moderate,Long-term,161343,Growth,ELSS
Conservative,Short-term,469091,Dividend,Debt
Aggressive,Long-term,652757,Small-Cap,ELSS
Aggressive,Medium-term,750870,Small-Cap,Equity
Moderate,Short-term,757405,Value,Index
Conservative,Short-term,637722,Dividend,Debt
Conservative,Medium-term,722203,Index,Debt
Aggressive,Medium-term,298365,Growth,Equity
Moderate,Short-term,268180,Value,Hybrid
Conservative,Medium-term,991892,Dividend,Debt
Moderate,Short-term,364943,Index,Hybrid
Conservative,Medium-term,66467,Dividend,Debt
Aggressive,Short-term,869701,Growth,Equity
Aggressive,Medium-term,121414,Small-Cap,ELSS
Moderate,Medium-term,867017,Index,Equity
Aggressive,Long-term,53086,Small-Cap,ELSS
Conservative,Long-term,907369,Dividend,Debt
Aggressive,Long-term,620912,Growth,ELSS
Moderate,Medium-term,615432,Index,Equity
Moderate,Short-term,10638,Index,Index
Moderate,Medium-term,867111,Blend,Equity
Conservative,Long-term,204006,Index,Debt
Conservative,Medium-term,863192,Dividend,Hybrid
Conservative,Long-term,57234,Index,Debt
Conservative,Long-term,333193,Index,Index
Conservative,Short-term,860275,Index,Debt
Aggressive,Short-term,713407,Small-Cap,ELSS
Conservative,Long-term,120406,Index,Index
Conservative,Long-term,150813,Index,Debt
Aggressive,Medium-term,785471,Growth,ELSS
Conservative,Long-term,335148,Dividend,Debt
Moderate,Medium-term,333633,Growth,Equity
Conservative,Long-term,819423,Dividend,Hybrid
Conservative,Short-term,115711,Index,Debt
Moderate,Short-term,429297,Value,Index
Moderate,Long-term,657049,Growth,Equity
Moderate,Medium-term,778454,Index,Equity
Moderate,Medium-term,591592,Index,Equity
Conservative,Medium-term,943146,Index,Hybrid
Moderate,Long-term,792670,Growth,Equity
Moderate,Long-term,347247,Growth,Equity
Aggressive,Short-term,903595,Growth,Equity
Moderate,Short-term,507288,Value,Hybrid
Moderate,Long-term,258134,Index,ELSS
Aggressive,Short-term,128778,Small-Cap,Equity
Aggressive,Medium-term,944903,Small-Cap,ELSS
Conservative,Medium-term,43103,Index,Debt
Aggressive,Long-term,25330,Growth,ELSS
Conservative,Medium-term,419680,Dividend,Hybrid
Aggressive,Long-term,143206,Small-Cap,ELSS
Aggressive,Medium-term,134679,Small-Cap,ELSS
Conservative,Long-term,583697,Dividend,Debt
Aggressive,Medium-term,236270,Small-Cap,ELSS
Conservative,Medium-term,10184,Index,Debt
Aggressive,Short-term,499139,Growth,Equity
Moderate,Short-term,131529,Index,Hybrid
Aggressive,Short-term,976778,Small-Cap,Equity
Conservative,Short-term,771720,Index,Debt
Aggressive,Short-term,869231,Small-Cap,Equity
Conservative,Short-term,65810,Dividend,Debt
Conservative,Long-term,613015,Dividend,Hybrid
Moderate,Long-term,210122,Index,Equity
Moderate,Short-term,960238,Index,Hybrid
Conservative,Long-term,474829,Index,Index
Aggressive,Short-term,846978,Small-Cap,Equity
Conservative,Long-term,569408,Dividend,Debt
Conservative,Medium-term,713844,Index,Debt
Aggressive,Long-term,725923,Small-Cap,ELSS
Aggressive,Long-term,347180,Growth,Equity
Aggressive,Long-term,90528,Growth,ELSS
Aggressive,Medium-term,196185,Small-Cap,ELSS
Conservative,Short-term,194168,Index,Debt
Conservative,Long-term,544421,Index,Debt
Moderate,Long-term,671765,Growth,ELSS
Conservative,Medium-term,957773,Index,Hybrid
Aggressive,Short-term,747770,Small-Cap,Equity
Moderate,Long-term,631281,Growth,ELSS
Aggressive,Medium-term,125742,Small-Cap,ELSS
Conservative,Short-term,682445,Dividend,Debt
Moderate,Short-term,569990,Index,Hybrid
Aggressive,Long-term,785435,Small-Cap,ELSS
Moderate,Long-term,154574,Index,Equity
Moderate,Long-term,318623,Growth,ELSS
Conservative,Long-term,613672,Dividend,Index
Aggressive,Medium-term,97957,Growth,Equity
Moderate,Medium-term,286570,Blend,Hybrid
Moderate,Long-term,473447,Index,Equity
Aggressive,Short-term,779867,Small-Cap,ELSS
Moderate,Long-term,943364,Index,Index
Moderate,Short-term,843297,Index,Hybrid
Moderate,Short-term,581692,Value,Hybrid
Aggressive,Short-term,625534,Small-Cap,ELSS
Aggressive,Medium-term,853855,Small-Cap,ELSS
Aggressive,Short-term,100947,Small-Cap,Equity
Aggressive,Short-term,477595,Growth,ELSS
Conservative,Medium-term,41152,Dividend,Hybrid
Moderate,Short-term,376014,Value,Hybrid
Aggressive,Short-term,302881,Growth,Equity
Moderate,Long-term,588613,Index,ELSS
Moderate,Short-term,179839,Value,Index
Conservative,Short-term,234864,Dividend,Debt
Aggressive,Short-term,767530,Small-Cap,Equity
Aggressive,Short-term,969209,Growth,Equity
Moderate,Short-term,667362,Value,Index
Aggressive,Medium-term,878591,Small-Cap,ELSS
Moderate,Short-term,725597,Index,Index
Moderate,Short-term,913064,Index,Hybrid
Conservative,Medium-term,327857,Dividend,Hybrid
Conservative,Medium-term,51815,Dividend,Debt
Conservative,Short-term,468213,Dividend,Debt
Moderate,Short-term,464075,Index,Hybrid
Aggressive,Short-term,779589,Small-Cap,Equity
Conservative,Long-term,728596,Index,Hybrid
Aggressive,Long-term,359931,Growth,ELSS
Conservative,Short-term,521098,Dividend,Debt
Conservative,Medium-term,350387,Value,Debt
Moderate,Short-term,492869,Value,Hybrid
Conservative,Medium-term,32743,Dividend,Debt
Conservative,Medium-term,853171,Dividend,Debt
Moderate,Medium-term,653780,Index,Hybrid
Aggressive,Short-term,894588,Growth,Equity
Conservative,Short-term,664563,Index,Debt
Moderate,Medium-term,222204,Index,Equity
Conservative,Long-term,40339,Index,Hybrid
Moderate,Long-term,44121,Growth,ELSS
Aggressive,Long-term,446211,Small-Cap,ELSS
Aggressive,Medium-term,979536,Growth,Equity
Moderate,Short-term,386276,Index,Hybrid
Moderate,Medium-term,977335,Blend,Equity
Moderate,Long-term,51446,Growth,ELSS
Aggressive,Short-term,259380,Growth,Equity
Conservative,Medium-term,136530,Index,Hybrid
Aggressive,Medium-term,448894,Small-Cap,ELSS
Moderate,Long-term,948202,Growth,ELSS
Moderate,Medium-term,770528,Blend,Hybrid
Aggressive,Short-term,483468,Growth,Equity
Moderate,Long-term,368486,Growth,Equity
Aggressive,Long-term,93404,Small-Cap,ELSS
Moderate,Short-term,320062,Value,Hybrid
Conservative,Long-term,106666,Index,Hybrid
Conservative,Medium-term,518594,Index,Debt
Moderate,Medium-term,198307,Index,Equity
Aggressive,Long-term,540413,Small-Cap,ELSS
Conservative,Short-term,248580,Dividend,Debt
Aggressive,Medium-term,786716,Growth,ELSS
Moderate,Short-term,399566,Value,Hybrid
Aggressive,Medium-term,712871,Small-Cap,Equity
Conservative,Medium-term,243084,Dividend,Debt
Aggressive,Long-term,301190,Small-Cap,ELSS
Aggressive,Long-term,229368,Small-Cap,ELSS
Moderate,Short-term,394762,Value,Hybrid
Moderate,Long-term,544402,Growth,Equity
Moderate,Medium-term,10637,Blend,Index
Conservative,Medium-term,572922,Index,Debt
Conservative,Short-term,360857,Dividend,Debt
Moderate,Short-term,570064,Value,Hybrid
Moderate,Medium-term,688960,Index,Hybrid
Conservative,Long-term,298953,Dividend,Index
Conservative,Long-term,951260,Dividend,Debt
Conservative,Short-term,462685,Dividend,Debt
Conservative,Short-term,572656,Dividend,Debt
Moderate,Medium-term,87185,Blend,Hybrid
Conservative,Medium-term,923601,Index,Debt
Moderate,Short-term,415096,Index,Hybrid
Aggressive,Medium-term,486535,Small-Cap,ELSS
Aggressive,Short-term,266286,Small-Cap,Equity
Conservative,Short-term,722515,Index,Debt
Aggressive,Long-term,388337,Small-Cap,ELSS
Aggressive,Short-term,622050,Small-Cap,Equity
Aggressive,Medium-term,116745,Small-Cap,ELSS
Conservative,Long-term,337460,Index,Hybrid
Conservative,Long-term,605144,Dividend,Debt
Aggressive,Medium-term,936231,Small-Cap,Equity
Moderate,Medium-term,311355,Index,Equity
Aggressive,Medium-term,357613,Small-Cap,Equity
Conservative,Short-term,875362,Dividend,Debt
Conservative,Long-term,770616,Dividend,Index
Conservative,Short-term,313561,Index,Debt
Aggressive,Short-term,750018,Small-Cap,Equity
Moderate,Short-term,203899,Value,Index
Conservative,Short-term,958941,Index,Debt
Conservative,Long-term,816951,Index,Debt
Aggressive,Long-term,804415,Small-Cap,ELSS
Moderate,Short-term,578944,Index,Index
Aggressive,Medium-term,802067,Small-Cap,ELSS
Conservative,Long-term,898805,Index,Debt
Moderate,Short-term,900987,Index,Index
Moderate,Medium-term,382027,Index,Equity
Conservative,Medium-term,258945,Value,Debt
Moderate,Short-term,160694,Index,Index
Moderate,Long-term,526356,Growth,Equity
Aggressive,Medium-term,769401,Small-Cap,Equity
Conservative,Long-term,84975,Dividend,Hybrid
Conservative,Long-term,889877,Dividend,Hybrid
Conservative,Medium-term,70666,Dividend,Debt
Conservative,Short-term,373021,Dividend,Debt
Conservative,Medium-term,328149,Value,Debt
Moderate,Medium-term,763789,Growth,Equity
Aggressive,Long-term,642013,Growth,Equity
Conservative,Short-term,152475,Dividend,Debt
Aggressive,Long-term,594765,Growth,ELSS
Aggressive,Medium-term,896837,Small-Cap,ELSS
Moderate,Short-term,516201,Value,Hybrid
Conservative,Short-term,599323,Dividend,Debt
Moderate,Short-term,698263,Value,Index
Conservative,Short-term,495705,Dividend,Debt
Moderate,Short-term,672671,Index,Hybrid
Aggressive,Medium-term,453827,Small-Cap,ELSS
Conservative,Medium-term,631849,Dividend,Debt
Aggressive,Medium-term,554903,Small-Cap,Equity
Aggressive,Long-term,328952,Small-Cap,ELSS
Moderate,Short-term,43580,Index,Index
Conservative,Short-term,984556,Dividend,Debt
Aggressive,Medium-term,133731,Small-Cap,ELSS
Moderate,Short-term,364000,Index,Index
Conservative,Long-term,52898,Index,Hybrid
Conservative,Short-term,689312,Dividend,Debt
Aggressive,Short-term,92790,Growth,ELSS
Conservative,Long-term,549515,Index,Debt
Aggressive,Medium-term,416976,Small-Cap,Equity
Conservative,Medium-term,280970,Dividend,Debt
Moderate,Short-term,482691,Index,Hybrid
Aggressive,Long-term,371116,Small-Cap,Equity
Aggressive,Medium-term,879645,Small-Cap,Equity
Conservative,Medium-term,463648,Dividend,Debt
Conservative,Medium-term,477212,Dividend,Debt
Aggressive,Short-term,461420,Small-Cap,Equity
Conservative,Long-term,411889,Index,Debt
Moderate,Short-term,627690,Index,Hybrid
Conservative,Medium-term,832590,Index,Hybrid
Moderate,Long-term,478205,Index,Equity
Moderate,Short-term,550192,Value,Index
Moderate,Medium-term,135212,Index,Index
Moderate,Medium-term,680756,Growth,Equity
Moderate,Short-term,234978,Value,Hybrid
Conservative,Medium-term,97469,Value,Debt
Moderate,Medium-term,588327,Growth,Equity
Conservative,Long-term,761245,Dividend,Debt
Moderate,Medium-term,538622,Growth,Equity
Aggressive,Short-term,369140,Small-Cap,ELSS
Moderate,Long-term,37268,Growth,Equity
Aggressive,Short-term,74636,Small-Cap,Equity
Moderate,Medium-term,818500,Index,Hybrid
Moderate,Long-term,955751,Growth,Index
Moderate,Long-term,599409,Index,ELSS
Aggressive,Long-term,395905,Growth,ELSS
Aggressive,Long-term,754030,Small-Cap,ELSS
Moderate,Short-term,812717,Index,Hybrid
Conservative,Medium-term,634827,Value,Debt
Moderate,Medium-term,227975,Growth,Equity
Aggressive,Long-term,531471,Small-Cap,ELSS
Moderate,Medium-term,34136,Index,Hybrid
Aggressive,Short-term,987882,Growth,Equity
Aggressive,Medium-term,441003,Growth,Equity
Aggressive,Short-term,558713,Growth,Equity
Moderate,Short-term,498217,Value,Hybrid
Aggressive,Medium-term,553249,Small-Cap,Equity
Aggressive,Short-term,174515,Growth,ELSS
Moderate,Short-term,290967,Value,Index
Aggressive,Short-term,347553,Growth,ELSS
Moderate,Short-term,605411,Value,Hybrid
Aggressive,Long-term,114249,Small-Cap,ELSS
Conservative,Medium-term,35852,Index,Debt
Conservative,Long-term,47535,Dividend,Hybrid
Aggressive,Short-term,541292,Small-Cap,Equity
Conservative,Medium-term,509248,Index,Hybrid
Moderate,Short-term,168895,Index,Index
Conservative,Medium-term,639201,Value,Debt
Aggressive,Long-term,850518,Small-Cap,Equity
Aggressive,Medium-term,259408,Growth,ELSS
Moderate,Short-term,17131,Index,Index
Aggressive,Medium-term,748592,Growth,Equity
Moderate,Medium-term,822081,Blend,Equity
Conservative,Long-term,669459,Index,Debt
Conservative,Short-term,454022,Dividend,Debt
Moderate,Medium-term,434787,Growth,Equity
Moderate,Long-term,564868,Index,ELSS
Aggressive,Medium-term,648451,Growth,Equity
Conservative,Short-term,104200,Dividend,Debt
Moderate,Medium-term,91118,Index,Equity
Conservative,Medium-term,560757,Index,Debt
Moderate,Medium-term,861611,Growth,Hybrid
Conservative,Medium-term,558524,Dividend,Hybrid
Aggressive,Short-term,952614,Growth,ELSS
Conservative,Long-term,295574,Index,Index
Conservative,Long-term,840839,Dividend,Debt
Conservative,Medium-term,703308,Index,Debt
Conservative,Short-term,93299,Dividend,Debt
Conservative,Short-term,386640,Dividend,Debt
Aggressive,Short-term,878997,Growth,Equity
Moderate,Short-term,460583,Value,Hybrid
Conservative,Short-term,703540,Index,Debt
Aggressive,Short-term,670012,Small-Cap,ELSS
Conservative,Medium-term,606658,Index,Hybrid
Conservative,Long-term,374899,Index,Debt
Moderate,Long-term,491239,Index,Equity
Conservative,Medium-term,137845,Dividend,Debt
Aggressive,Long-term,934588,Growth,ELSS
Aggressive,Short-term,973134,Small-Cap,Equity
Moderate,Short-term,718636,Index,Hybrid
Conservative,Long-term,745588,Index,Hybrid
Aggressive,Short-term,649340,Small-Cap,Equity
Conservative,Short-term,143727,Dividend,Debt
Conservative,Long-term,460968,Index,Index
Conservative,Medium-term,640025,Value,Hybrid
Moderate,Long-term,502834,Index,ELSS
Conservative,Long-term,188742,Index,Debt
Aggressive,Long-term,146344,Growth,ELSS
Conservative,Long-term,927722,Index,Index
Aggressive,Medium-term,630716,Growth,Equity
Conservative,Medium-term,309615,Index,Hybrid
Aggressive,Short-term,58762,Small-Cap,Equity
Aggressive,Short-term,949019,Growth,ELSS
Conservative,Long-term,175379,Index,Hybrid
Conservative,Short-term,783481,Dividend,Debt
Aggressive,Medium-term,683346,Small-Cap,Equity
Moderate,Short-term,356768,Value,Hybrid
Conservative,Short-term,342744,Dividend,Debt
Moderate,Short-term,908524,Index,Hybrid
Conservative,Long-term,652624,Dividend,Index
Conservative,Short-term,519009,Dividend,Debt
Conservative,Medium-term,327032,Index,Hybrid
Conservative,Medium-term,152675,Value,Hybrid
Moderate,Medium-term,340168,Growth,Hybrid
Conservative,Medium-term,100728,Dividend,Debt
Aggressive,Short-term,825329,Growth,Equity
Aggressive,Long-term,684162,Small-Cap,ELSS
Moderate,Medium-term,157483,Index,Hybrid
Conservative,Medium-term,70399,Index,Debt
Aggressive,Long-term,236274,Small-Cap,ELSS
Moderate,Long-term,509727,Index,ELSS
Conservative,Medium-term,70692,Dividend,Debt
Aggressive,Medium-term,985180,Small-Cap,ELSS
Aggressive,Long-term,678130,Growth,Equity
Moderate,Medium-term,83513,Growth,Hybrid
Conservative,Medium-term,964933,Dividend,Hybrid
Conservative,Short-term,500783,Dividend,Debt
Aggressive,Long-term,397185,Growth,ELSS
Aggressive,Short-term,462645,Small-Cap,Equity
Aggressive,Short-term,211157,Growth,Equity
Conservative,Long-term,947841,Index,Hybrid
Moderate,Short-term,365045,Index,Hybrid
Moderate,Medium-term,751541,Growth,Equity
Conservative,Short-term,778693,Index,Debt
Moderate,Long-term,165579,Index,Equity
Aggressive,Medium-term,593884,Small-Cap,ELSS
Moderate,Medium-term,80509,Index,Hybrid
Moderate,Medium-term,542724,Index,Equity
Moderate,Medium-term,20086,Blend,Equity
Aggressive,Short-term,363198,Small-Cap,ELSS
Conservative,Short-term,423067,Dividend,Debt
Aggressive,Medium-term,836164,Growth,ELSS
Conservative,Long-term,942346,Dividend,Debt
Conservative,Medium-term,925360,Index,Debt
Conservative,Short-term,918187,Dividend,Debt
Moderate,Medium-term,267144,Growth,Equity
Moderate,Short-term,236562,Value,Hybrid
Conservative,Medium-term,11745,Index,Debt
Conservative,Long-term,809129,Index,Hybrid
Moderate,Medium-term,495685,Index,Equity
Aggressive,Long-term,13879,Small-Cap,ELSS
Conservative,Long-term,226769,Dividend,Hybrid
Aggressive,Medium-term,683859,Small-Cap,ELSS
Moderate,Long-term,753537,Index,Index
Conservative,Long-term,700395,Dividend,Debt
Aggressive,Short-term,946155,Small-Cap,Equity
Aggressive,Short-term,871656,Growth,Equity
Aggressive,Long-term,385513,Small-Cap,ELSS
Moderate,Medium-term,348668,Growth,Hybrid
Moderate,Long-term,361150,Index,ELSS
Aggressive,Medium-term,833681,Small-Cap,Equity
Aggressive,Short-term,427065,Small-Cap,ELSS
Moderate,Medium-term,738669,Index,Equity
Aggressive,Long-term,242700,Small-Cap,ELSS
Aggressive,Long-term,301220,Small-Cap,ELSS
Moderate,Long-term,735483,Growth,ELSS
Aggressive,Long-term,698484,Growth,ELSS
Aggressive,Long-term,681147,Growth,ELSS
Aggressive,Medium-term,849894,Small-Cap,ELSS
Moderate,Long-term,358128,Index,ELSS
Aggressive,Short-term,81035,Small-Cap,Equity
Moderate,Long-term,13841,Index,Equity
Moderate,Medium-term,317034,Growth,Hybrid
Conservative,Long-term,399871,Dividend,Hybrid
Conservative,Long-term,559690,Index,Hybrid
Aggressive,Medium-term,785381,Growth,Equity
Moderate,Long-term,383857,Index,Index
Conservative,Medium-term,377507,Dividend,Debt
Aggressive,Long-term,731561,Small-Cap,Equity
Conservative,Short-term,107807,Index,Debt
Conservative,Long-term,819669,Index,Debt
Moderate,Medium-term,184060,Blend,Hybrid
Moderate,Short-term,497019,Value,Hybrid
Conservative,Medium-term,217382,Index,Debt
Conservative,Long-term,403769,Dividend,Index
Moderate,Short-term,679220,Index,Index
Aggressive,Medium-term,624727,Growth,ELSS
Moderate,Short-term,279189,Value,Hybrid
Conservative,Short-term,347060,Dividend,Debt
Aggressive,Medium-term,66435,Small-Cap,ELSS
Conservative,Short-term,108453,Index,Debt
Aggressive,Medium-term,566549,Small-Cap,Equity
Conservative,Short-term,255749,Index,Debt
Aggressive,Short-term,530848,Small-Cap,Equity
Aggressive,Short-term,12853,Growth,ELSS
Conservative,Long-term,609952,Dividend,Hybrid
Aggressive,Long-term,120884,Small-Cap,ELSS
Moderate,Medium-term,58022,Growth,Equity
Conservative,Short-term,405952,Dividend,Debt
Moderate,Medium-term,305868,Blend,Index
Conservative,Long-term,807872,Index,Index
Aggressive,Long-term,867148,Growth,ELSS
Aggressive,Long-term,433500,Small-Cap,Equity
Aggressive,Long-term,116911,Growth,Equity
Conservative,Medium-term,414862,Index,Debt
Moderate,Short-term,487781,Index,Hybrid
Moderate,Medium-term,95694,Index,Hybrid
Conservative,Short-term,417558,Dividend,Debt
Conservative,Long-term,506533,Dividend,Debt
Moderate,Short-term,730980,Index,Hybrid
Moderate,Long-term,205333,Growth,Index
Moderate,Medium-term,269004,Growth,Equity
Moderate,Short-term,405151,Index,Hybrid
Conservative,Medium-term,499218,Index,Hybrid
Conservative,Long-term,969880,Dividend,Hybrid
Aggressive,Medium-term,740158,Small-Cap,ELSS
Moderate,Long-term,969985,Index,ELSS
Aggressive,Long-term,650477,Small-Cap,ELSS
Conservative,Long-term,104203,Dividend,Hybrid
Conservative,Medium-term,196793,Value,Hybrid
Aggressive,Medium-term,109039,Growth,Equity
Moderate,Short-term,274982,Index,Hybrid
Moderate,Short-term,700690,Value,Hybrid
Moderate,Medium-term,636498,Index,Hybrid
Moderate,Medium-term,764936,Blend,Index
Aggressive,Medium-term,899572,Small-Cap,Equity
Aggressive,Medium-term,110166,Small-Cap,Equity
Conservative,Long-term,833426,Index,Debt
Moderate,Long-term,757235,Growth,ELSS
Moderate,Long-term,40384,Index,Equity
Moderate,Medium-term,317522,Growth,Equity
Aggressive,Long-term,379462,Small-Cap,Equity
Moderate,Long-term,435859,Index,Index
Aggressive,Short-term,420142,Growth,ELSS
Moderate,Short-term,48977,Index,Index
Moderate,Long-term,33652,Index,Equity
Conservative,Long-term,728655,Index,Hybrid
Moderate,Long-term,20270,Growth,Equity
Moderate,Medium-term,617092,Index,Hybrid
Conservative,Short-term,202702,Dividend,Debt
Aggressive,Short-term,46417,Growth,Equity
Aggressive,Short-term,137390,Growth,ELSS
Moderate,Long-term,450110,Index,Equity
Aggressive,Medium-term,590330,Small-Cap,ELSS
Moderate,Short-term,335397,Value,Hybrid
Conservative,Short-term,189913,Dividend,Debt
Conservative,Medium-term,324867,Dividend,Debt
Moderate,Long-term,161389,Index,ELSS
Conservative,Long-term,982512,Dividend,Hybrid
Conservative,Short-term,701794,Dividend,Debt
Moderate,Short-term,711485,Value,Index
Moderate,Medium-term,222056,Growth,Hybrid
Conservative,Short-term,347593,Index,Debt
Aggressive,Medium-term,739462,Growth,ELSS
Aggressive,Short-term,763340,Growth,Equity
Moderate,Short-term,91141,Value,Index
Moderate,Short-term,534845,Value,Index
Aggressive,Long-term,904208,Small-Cap,ELSS
Conservative,Medium-term,447599,Dividend,Debt
Aggressive,Medium-term,409256,Small-Cap,ELSS
Aggressive,Long-term,56652,Growth,Equity
Aggressive,Long-term,126048,Growth,ELSS
Aggressive,Long-term,70941,Growth,Equity
Moderate,Medium-term,883772,Blend,Hybrid
Moderate,Short-term,346972,Value,Index
Conservative,Long-term,167182,Index,Hybrid
Conservative,Long-term,408565,Dividend,Index
Conservative,Long-term,171446,Index,Hybrid
Conservative,Short-term,356689,Index,Debt
Aggressive,Short-term,382767,Small-Cap,ELSS
Moderate,Long-term,576879,Growth,ELSS
Moderate,Short-term,403273,Value,Index
Conservative,Long-term,920439,Dividend,Hybrid
Conservative,Short-term,365973,Dividend,Debt
Aggressive,Medium-term,785896,Growth,ELSS
Aggressive,Medium-term,336722,Small-Cap,ELSS
Conservative,Short-term,904929,Dividend,Debt
Moderate,Medium-term,160193,Blend,Hybrid
Moderate,Medium-term,277637,Blend,Equity
Moderate,Medium-term,794118,Growth,Equity
Conservative,Long-term,636469,Index,Index
Moderate,Short-term,602106,Value,Hybrid
Aggressive,Short-term,229778,Growth,Equity
Aggressive,Short-term,512895,Growth,ELSS
Conservative,Medium-term,916628,Index,Hybrid
Aggressive,Long-term,273575,Small-Cap,ELSS
Conservative,Short-term,463685,Index,Debt
Moderate,Medium-term,465457,Growth,Hybrid
Moderate,Long-term,972798,Growth,ELSS
Moderate,Long-term,634367,Index,ELSS
Aggressive,Short-term,789558,Growth,ELSS
Conservative,Short-term,227199,Dividend,Debt
Moderate,Medium-term,414567,Growth,Equity
Conservative,Short-term,697843,Dividend,Debt
Moderate,Medium-term,303339,Blend,Hybrid
Aggressive,Long-term,778303,Growth,ELSS
Aggressive,Long-term,789568,Growth,ELSS
Conservative,Long-term,768049,Index,Hybrid
Aggressive,Long-term,163807,Small-Cap,ELSS
Aggressive,Short-term,549491,Small-Cap,Equity
Conservative,Short-term,276118,Dividend,Debt
Moderate,Medium-term,245281,Index,Equity
Aggressive,Medium-term,374913,Growth,ELSS
Conservative,Medium-term,788459,Index,Debt
Aggressive,Medium-term,619510,Small-Cap,Equity
Aggressive,Medium-term,967217,Small-Cap,ELSS
Aggressive,Long-term,512578,Growth,ELSS
Aggressive,Long-term,790136,Small-Cap,Equity
Conservative,Long-term,22636,Index,Index
Conservative,Medium-term,307214,Index,Debt
Conservative,Long-term,825555,Index,Hybrid
Aggressive,Long-term,655261,Small-Cap,ELSS
Aggressive,Long-term,959316,Small-Cap,ELSS
Aggressive,Long-term,431976,Small-Cap,ELSS
Conservative,Short-term,539254,Index,Debt
Aggressive,Medium-term,777111,Growth,ELSS
Moderate,Medium-term,914846,Blend,Equity
Aggressive,Short-term,356106,Small-Cap,ELSS
Moderate,Long-term,613986,Growth,ELSS
Aggressive,Long-term,419274,Small-Cap,ELSS
Conservative,Long-term,575770,Dividend,Hybrid
Aggressive,Medium-term,250275,Growth,Equity
Moderate,Medium-term,12998,Blend,Index
Moderate,Medium-term,132659,Index,Equity
Aggressive,Medium-term,71265,Growth,Equity
Moderate,Medium-term,76445,Index,Hybrid
Moderate,Short-term,907465,Value,Index
Conservative,Medium-term,175720,Index,Debt
Aggressive,Long-term,988127,Small-Cap,ELSS
Aggressive,Medium-term,874465,Small-Cap,ELSS
Aggressive,Short-term,880912,Small-Cap,ELSS
Moderate,Long-term,672887,Index,ELSS
Aggressive,Short-term,900432,Small-Cap,ELSS
Aggressive,Long-term,668432,Small-Cap,ELSS
Conservative,Medium-term,415234,Dividend,Hybrid
Conservative,Short-term,563940,Dividend,Debt
Conservative,Long-term,14476,Index,Index
Moderate,Medium-term,630056,Index,Equity
Aggressive,Long-term,168554,Growth,ELSS
Conservative,Short-term,768153,Dividend,Debt
Conservative,Short-term,203585,Dividend,Debt
Conservative,Short-term,227483,Dividend,Debt
Aggressive,Short-term,812651,Small-Cap,ELSS
